Gene	ratio
WBGene00017467|F14F9.4	10
WBGene00011717|T11G6.2	9.96
WBGene00003668|F36A4.14|nhr-78	9.92
WBGene00006798|F56A8.7|unc-64	9.92
WBGene00012298|W06D4.4|prmt-2	9.9
WBGene00016844|C50F7.4	9.89
WBGene00004138|R07B7.3|pqn-53	9.88
WBGene00004454|C09H10.2|rpl-41	9.88
WBGene00006772|C50C3.9|unc-36	9.86
WBGene00044204|T07C12.14	9.82
WBGene00006396|Y56A3A.4|taf-12	9.81
WBGene00001972|F47D12.4|hmg-1.2	9.78
WBGene00006839|F09B9.2|unc-115	9.76
WBGene00010091|F55C5.1	9.76
WBGene00021149|W10G11.20|dnc-3	9.75
WBGene00003477|H28G03.6|mtm-5	9.73
WBGene00077643|DC2.8	9.68
WBGene00019813|R01H2.5|ger-1	9.66
WBGene00001613|B0280.12|glr-2	9.65
WBGene00000370|Y73F8A.6|ccg-1	9.63
WBGene00044792|F59C6.14	9.57
WBGene00021331|Y34D9A.6|glrx-10	9.54
WBGene00000176|K02G10.7|aqp-8	9.52
WBGene00004933|F55H2.1|sod-4	9.52
WBGene00007256|C01H6.7|tag-298	9.52
WBGene00019752|M03D4.6	9.5
WBGene00004483|F37C12.9|rps-14	9.48
WBGene00002827|C29E6.1|let-653	9.46
WBGene00016019|C23H3.3	9.46
WBGene00003426|F36H12.7|msp-19	9.44
WBGene00016133|C26B9.3	9.4
WBGene00000936|T25F10.2|dbl-1	9.4
WBGene00007300|C04F12.6	9.37
WBGene00012766|Y41E3.8	9.36
WBGene00003964|H06O01.1|pdi-3	9.36
WBGene00018220|F40A3.5	9.31
WBGene00007877|C33A11.1	9.3
WBGene00004001|T21E8.2|pgp-7	9.3
WBGene00004348|B0336.4|rgs-5	9.29
WBGene00005655|K11D12.3|srr-4	9.27
WBGene00006530|F44F4.11|tba-4	9.22
WBGene00006580|T23G4.1|tlp-1	9.18
WBGene00045056|F13H10.9	9.18
WBGene00000070|C44F1.5|acy-3	9.16
WBGene00006702|Y71G12B.15|ubc-3	9.13
WBGene00014229|ZK1128.3	9.13
WBGene00011193|R10D12.12	9.12
WBGene00022382|Y94H6A.10	9.12
WBGene00019778|M57.2	9.12
WBGene00001236|Y82E9BR.15|elc-1	9.11
WBGene00004449|ZK652.4|rpl-35	9.08
WBGene00015666|C10A4.5	9.07
WBGene00009971|F53C11.1	9.07
WBGene00014871|Y37H9A.5	9.05
WBGene00019983|R09E12.3|sti-1	9.04
WBGene00011777|T14G10.8	9.02
WBGene00015351|C02F5.10	9.01
WBGene00021506|Y41D4A.4	9
WBGene00044004|C24A8.6	8.99
WBGene00000263|F23H11.5	8.99
WBGene00004210|Y110A2AL.8|ptc-3	8.99
WBGene00007857|C31H5.6	8.95
WBGene00021533|Y42G9A.3	8.94
WBGene00006706|F29B9.6|ubc-9	8.93
WBGene00010976|R02D5.1	8.91
WBGene00020902|T28F2.4|jmjc-1	8.85
WBGene00013523|Y73F8A.14	8.84
WBGene00017982|F32D1.2	8.79
WBGene00019657|K11G12.6	8.79
WBGene00017744|F23F1.3|fbxc-54	8.78
WBGene00017178|F02E8.5|atg-16.1	8.76
WBGene00017998|F33D4.6	8.75
WBGene00018769|F53G2.7|mnat-1	8.71
WBGene00022592|ZC328.2	8.64
WBGene00006701|C35B1.1|ubc-1	8.62
WBGene00020974|W03B1.5	8.61
WBGene00011957|T23F11.6	8.61
WBGene00019679|K12H4.4	8.61
WBGene00012128|T28F3.1|nra-1	8.6
WBGene00004951|K10B3.10|spc-1	8.58
WBGene00020393|T10B5.7	8.57
WBGene00012522|Y32B12B.2	8.57
WBGene00020153|T01G6.6|nhr-212	8.55
WBGene00015122|B0302.5	8.54
WBGene00010891|M18.6	8.54
WBGene00001612|C06E1.4|glr-1	8.54
WBGene00023419|F53F4.16	8.54
WBGene00001071|T21D12.2|dpy-9	8.54
WBGene00008177|C48D1.1	8.53
WBGene00001263|K04H4.1|emb-9	8.52
WBGene00020740|T23F4.2	8.52
WBGene00002060|R04A9.4|ife-2	8.51
WBGene00020978|W03B1.9	8.5
WBGene00001117|F54C1.5|dyf-1	8.5
WBGene00009128|F25H5.6	8.5
WBGene00016683|C45G9.12	8.49
WBGene00006371|F35C8.4|syx-3	8.48
WBGene00023500|C11H1.9	8.47
WBGene00019299|K02D7.2	8.47
WBGene00019259|H34C03.2	8.47
WBGene00009704|F44F4.9	8.46
WBGene00014056|ZK669.7	8.46
WBGene00001840|C26D10.2|hel-1	8.45
WBGene00013899|ZC443.4	8.45
WBGene00001385|F02A9.2|far-1	8.45
WBGene00017048|D2021.4	8.44
WBGene00017420|F13B9.2	8.42
WBGene00010474|K01D12.15	8.41
WBGene00011015|R04F11.2	8.41
WBGene00022121|Y71F9AM.4|cogc-3	8.41
WBGene00008572|F08B12.4	8.4
WBGene00010459|K01C8.7	8.4
WBGene00013025|Y49A3A.2|vha-13	8.4
WBGene00021803|Y53G8AM.2	8.39
WBGene00010041|F54C9.3	8.37
WBGene00001112|Y106G6H.12|duo-3	8.37
WBGene00050941|C33F10.14	8.36
WBGene00011113|R07E5.5	8.35
WBGene00004342|C30A5.2|rfs-1	8.34
WBGene00021888|Y54G2A.23	8.33
WBGene00015555|C06G3.9	8.33
WBGene00008916|F17C11.5|clec-221	8.28
WBGene00000567|ZK632.6|cnx-1	8.24
WBGene00002978|Y105E8B.1|lev-11	8.23
WBGene00019547|K09C4.1	8.22
WBGene00006519|F54D8.2|tag-174	8.22
WBGene00021050|W05H9.3	8.21
WBGene00004918|ZK652.1|snr-5	8.17
WBGene00009793|F46F6.2|pkn-1	8.17
WBGene00044071|D2021.2|tag-233	8.17
WBGene00000371|F26E4.9|cco-1	8.16
WBGene00018893|F55F8.5|tag-345	8.16
WBGene00016721|C46G7.1	8.14
WBGene00010868|M04G12.4|somi-1	8.14
WBGene00019693|M01A10.3|ostd-1	8.11
WBGene00006805|F55C7.7|unc-73	8.09
WBGene00006715|F40G9.3|ubc-20	8.08
WBGene00004432|E04A4.8|rpl-20	8.06
WBGene00009787|F46F2.3	8.05
WBGene00004502|F29G9.5|rpt-2	8.05
WBGene00003762|F35B12.7|nlp-24	8.03
WBGene00004482|C16A3.9|rps-13	8.03
WBGene00010330|F59D12.2	8.02
WBGene00001976|T05A7.4|hmg-11	8.02
WBGene00017730|F22H10.6	8
WBGene00000528|T27D12.2|clh-1	8
WBGene00012458|Y17G7B.2|ash-2	8
WBGene00006881|R07B1.1|vab-15	8
WBGene00004493|T07A9.11|rps-24	7.99
WBGene00010503|K02C4.5	7.99
WBGene00022307|Y77E11A.2	7.98
WBGene00009771|F46B6.6	7.97
WBGene00010444|K01A6.2|magi-1	7.97
WBGene00003077|Y62E10A.12|lsm-3	7.95
WBGene00015132|B0303.14	7.95
WBGene00004309|C08F8.7|rap-3	7.94
WBGene00021017|W03G9.7	7.94
WBGene00005020|Y110A2AL.14|sqv-2	7.9
WBGene00004161|Y111B2A.14|pqn-80	7.9
WBGene00003102|C08C3.3|mab-5	7.89
WBGene00007053|T04D1.4|tag-192	7.88
WBGene00021312|Y32H12A.4	7.88
WBGene00006697|Y92C3B.2|uaf-1	7.86
WBGene00012807|Y43F4B.10	7.84
WBGene00022734|ZK418.5	7.81
WBGene00022336|Y82E9BR.3	7.81
WBGene00020246|T05B11.3|clic-1	7.81
WBGene00010407|H19N07.3	7.78
WBGene00008596|F08H9.8|clec-54	7.75
WBGene00021855|Y54F10AR.2	7.72
WBGene00009277|F30F8.10	7.72
WBGene00021829|Y54E10A.7	7.71
WBGene00021549|Y44E3A.4	7.7
WBGene00016583|C42C1.5|tag-335	7.69
WBGene00018341|F42A10.5	7.65
WBGene00006803|K11C4.3|unc-70	7.65
WBGene00016555|C40D2.2|math-20	7.65
WBGene00013019|Y48G10A.2	7.64
WBGene00004491|F53A3.3|rps-22	7.62
WBGene00001589|H04J21.3|gip-1	7.62
WBGene00001946|Y49E10.6|his-72	7.61
WBGene00003989|Y18D10A.20|pfn-1	7.61
WBGene00011171|R09E10.1	7.61
WBGene00043994|C07A9.12	7.6
WBGene00006887|C35B8.2|vav-1	7.6
WBGene00001562|B0513.1|lin-66	7.58
WBGene00003724|F44C8.2|nhr-134	7.57
WBGene00004781|T26A5.7|set-1	7.57
WBGene00016399|C34D4.3	7.56
WBGene00018579|F47G6.2|acs-16	7.55
WBGene00010681|K08F8.1	7.55
WBGene00003801|C29E4.4|npp-15	7.54
WBGene00045255|Y41D4B.27|nhr-146	7.54
WBGene00017905|F28F5.6	7.53
WBGene00017586|F19B10.4	7.5
WBGene00018321|F41H10.11|sand-1	7.49
WBGene00013577|Y76A2B.5	7.48
WBGene00010406|H19N07.2|math-33	7.48
WBGene00011661|T09F3.1|ztf-27	7.47
WBGene00003965|H42K12.1|pdk-1	7.47
WBGene00008980|F20D1.10|tag-299	7.47
WBGene00017215|F07F6.1	7.45
WBGene00006388|F54F7.1|taf-7.1	7.43
WBGene00006802|T07A5.6|unc-69	7.43
WBGene00008812|F14F7.5	7.41
WBGene00009666|F43G9.3	7.4
WBGene00004453|C26F1.9|rpl-39	7.4
WBGene00044690|M02B7.7	7.4
WBGene00019068|F58H7.2|faah-3	7.38
WBGene00018866|F55A12.8	7.38
WBGene00003048|W06F12.1|lit-1	7.35
WBGene00016425|C34H4.2	7.35
WBGene00003722|R11G11.1|nhr-132	7.34
WBGene00008975|F20D1.3	7.34
WBGene00009371|F33H2.8	7.34
WBGene00010674|K08E7.6	7.33
WBGene00022781|ZK622.3|pmt-1	7.32
WBGene00012140|T28F4.5	7.32
WBGene00009157|F26E4.2	7.31
WBGene00008032|C39E9.8	7.3
WBGene00020824|T26A8.1	7.3
WBGene00044607|K02A11.4	7.3
WBGene00011156|R09B3.3	7.29
WBGene00000231|D2045.1|atx-2	7.29
WBGene00016038|C24A8.4|cst-2	7.29
WBGene00009840|F47H4.9|fbxa-189	7.29
WBGene00010120|F55G7.2	7.29
WBGene00003030|Y73B6A.5|lin-45	7.28
WBGene00003472|B0414.7|mtk-1	7.27
WBGene00044698|K09F5.6	7.27
WBGene00017280|F09D1.1	7.26
WBGene00020424|T10H9.1	7.25
WBGene00016266|C30F12.7	7.25
WBGene00017683|F21H12.1	7.25
WBGene00003674|T06C12.7|nhr-84	7.24
WBGene00022176|Y71H2AM.11	7.23
WBGene00018594|F48C1.1|aman-3	7.23
WBGene00011456|T05A1.5	7.22
WBGene00003087|F49H12.1|lsy-2	7.22
WBGene00006438|C01F6.6|tag-60	7.21
WBGene00010184|F57A10.2	7.2
WBGene00015755|C14B9.10	7.2
WBGene00001428|C05C8.3|fkb-3	7.19
WBGene00004220|C53C11.3|ptr-5	7.18
WBGene00002007|C15H9.6|hsp-3	7.17
WBGene00002075|F28B3.8|imb-1	7.17
WBGene00022162|Y71G12B.27	7.16
WBGene00009512|F37H8.3	7.16
WBGene00017676|F21F3.7	7.15
WBGene00006607|F57B10.7|tre-1	7.12
WBGene00017220|F07F6.8	7.09
WBGene00010610|K07A1.3	7.06
WBGene00001708|F19C6.1|grk-1	7.06
WBGene00001843|W06D4.1|hgo-1	7.06
WBGene00015647|C09F5.1	7.05
WBGene00016494|C37A2.8	7
WBGene00003921|T26E3.3|par-6	7
WBGene00020788|T25B6.2	7
WBGene00013189|Y54E2A.4	7
WBGene00022372|Y92H12BR.7	7
WBGene00012386|Y6B3A.1|agef-1	7
WBGene00003566|Y113G7A.4|ncx-1	7
WBGene00009809|F47B8.8	7
WBGene00021784|Y51H7C.6|cogc-4	7
WBGene00010424|H36L18.2	7
WBGene00002039|T10H10.1|hum-6	6.98
WBGene00003065|T21C9.5|lpd-9	6.98
WBGene00004057|F42G8.4|pmk-3	6.97
WBGene00015507|C06A6.2	6.97
WBGene00022769|ZK563.5	6.96
WBGene00022751|ZK484.5	6.96
WBGene00012005|T24H10.7|jun-1	6.95
WBGene00000749|ZC373.7|col-176	6.95
WBGene00018497|F46F5.6	6.95
WBGene00003681|Y15E3A.1|nhr-91	6.94
WBGene00018349|F42C5.9	6.92
WBGene00020245|T05B11.1	6.92
WBGene00006984|F54D7.4|zig-7	6.9
WBGene00019364|K03E6.4|mksr-1	6.88
WBGene00020105|R148.7	6.87
WBGene00022766|ZK546.17|cblc-1	6.86
WBGene00017419|F13B9.1	6.84
WBGene00002162|F42G8.12|isp-1	6.82
WBGene00000376|ZC518.3|ccr-4	6.81
WBGene00012348|W08G11.4|pptr-1	6.8
WBGene00021660|Y48G1A.4	6.8
WBGene00010711|K09B11.4	6.79
WBGene00016546|C40A11.3	6.78
WBGene00010028|F54B11.5	6.77
WBGene00018459|F45D11.14	6.77
WBGene00018461|F45D11.16	6.77
WBGene00018460|F45D11.15	6.77
WBGene00006496|C14A11.3|cgef-1	6.76
WBGene00016356|C33F10.8	6.75
WBGene00005662|W03B1.4|sars-2	6.75
WBGene00020316|T07E3.5|brc-2	6.75
WBGene00004954|H34C03.1|spd-3	6.74
WBGene00022158|Y71G12B.23	6.74
WBGene00018806|F54D10.5	6.74
WBGene00013202|Y54E5A.7	6.73
WBGene00003559|ZK112.2|ncl-1	6.73
WBGene00016028|C24A1.1|flp-24	6.72
WBGene00018732|F53A9.9	6.72
WBGene00015022|B0205.8	6.71
WBGene00016663|C45E1.4	6.7
WBGene00019597|K09H9.5	6.7
WBGene00020899|T28D9.11	6.7
WBGene00020929|W02C12.2	6.7
WBGene00017075|D2096.8	6.7
WBGene00003961|C07G1.3|pct-1	6.69
WBGene00015049|B0218.5	6.69
WBGene00007129|B0272.3	6.67
WBGene00000877|Y49A3A.5|cyn-1	6.67
WBGene00011221|R10E12.2	6.66
WBGene00000652|M110.1|col-76	6.65
WBGene00017285|F09E5.7	6.65
WBGene00021279|Y23H5B.8	6.64
WBGene00013730|Y111B2A.4	6.64
WBGene00017434|F13H8.1	6.63
WBGene00009739|F45H10.2	6.63
WBGene00008191|C49A1.10	6.62
WBGene00001909|C50F4.13|his-35	6.62
WBGene00004465|T06D8.8|rpn-9	6.62
WBGene00020612|T20D4.6|arrd-22	6.62
WBGene00010550|K04B12.2	6.59
WBGene00009722|F45D3.2	6.59
WBGene00018516|F46G11.3|tag-257	6.59
WBGene00010807|M01E5.4	6.57
WBGene00017865|F27D9.7	6.55
WBGene00019943|R07G3.7	6.53
WBGene00001329|T04C10.2|epn-1	6.51
WBGene00013055|Y50E8A.12	6.51
WBGene00001719|C26F1.5|grl-10	6.5
WBGene00021204|Y17G9B.7|fbxb-77	6.5
WBGene00018736|F53B1.3	6.48
WBGene00001993|T21C12.2|hpd-1	6.47
WBGene00023405|ZK1236.3|sor-1	6.46
WBGene00015263|B0563.6	6.46
WBGene00009469|F36D3.1	6.45
WBGene00050943|ZC412.10	6.44
WBGene00011008|R04B5.11	6.44
WBGene00010524|K03B8.6	6.43
WBGene00010204|F57F5.1	6.43
WBGene00000106|T07D3.7|alg-2	6.43
WBGene00009745|F45H11.5	6.43
WBGene00011414|T04A8.13	6.42
WBGene00010758|K10H10.1	6.41
WBGene00003802|Y56A3A.17|npp-16	6.41
WBGene00018714|F52H2.1	6.41
WBGene00001007|C39E9.14|dli-1	6.41
WBGene00004732|C18F3.2|sax-7	6.4
WBGene00000565|Y17G7B.15|cnt-1	6.39
WBGene00006062|F30A10.8|stn-1	6.39
WBGene00012420|Y7A9D.1	6.39
WBGene00044574|F23G4.1	6.38
WBGene00021201|Y17G9B.4	6.38
WBGene00003693|F44C8.4|nhr-103	6.37
WBGene00017702|F22D3.6	6.37
WBGene00020986|W03D8.3	6.36
WBGene00011723|T12A7.2	6.36
WBGene00009679|F44D12.2	6.36
WBGene00004435|B0336.10|rpl-23	6.35
WBGene00002220|C15C7.2|klp-8	6.35
WBGene00000145|F35G12.9|apc-11	6.34
WBGene00015701|C11D2.3	6.33
WBGene00019838|R02F2.9	6.33
WBGene00022297|Y76B12C.3	6.32
WBGene00009750|F46A8.7	6.32
WBGene00012859|Y45F3A.1	6.32
WBGene00006917|C17H12.14|vha-8	6.3
WBGene00008310|C54E10.6	6.3
WBGene00008226|C50B8.4	6.29
WBGene00000001|Y110A7A.10|aap-1	6.28
WBGene00014095|ZK829.4	6.28
WBGene00002069|C04F12.3|ikb-1	6.27
WBGene00011665|T09F5.1	6.26
WBGene00010625|K07C5.2	6.26
WBGene00022381|Y94H6A.9|ubxn-2	6.26
WBGene00002125|F22F4.2|inx-3	6.24
WBGene00008745|F13E6.1	6.24
WBGene00044370|C41H7.9	6.24
WBGene00017768|F25B4.5	6.21
WBGene00017334|F10D2.8	6.21
WBGene00018018|F33G12.6	6.2
WBGene00000210|C53B7.4|asg-2	6.2
WBGene00020003|R11E3.1	6.19
WBGene00006572|C06G3.11|tin-9.1	6.18
WBGene00017143|EEED8.15	6.15
WBGene00006584|F42E11.4|tni-1	6.13
WBGene00000992|F27D9.6|dhs-29	6.12
WBGene00003792|F56A3.3|npp-6	6.1
WBGene00001137|B0365.3|eat-6	6.1
WBGene00012136|T28F4.1	6.09
WBGene00019305|K02D10.5|snap-29	6.09
WBGene00011367|T02C12.2	6.09
WBGene00020137|T01B10.5	6.09
WBGene00008690|F11C1.1	6.08
WBGene00010660|K08D8.6	6.08
WBGene00015929|C17H12.3	6.07
WBGene00001335|F35A5.8|erp-1	6.07
WBGene00001980|W02B9.1|hmr-1	6.06
WBGene00015732	6.06
WBGene00003636|C45E5.6|nhr-46	6.05
WBGene00021538|Y42H9AR.3|rabs-5	6.05
WBGene00001559|F45H7.2|gei-1	6.05
WBGene00022055|Y67D2.5	6.04
WBGene00002982|B0336.8|lgg-3	6.03
WBGene00016144|C26E6.11|mmab-1	6.02
WBGene00016808|C50D2.5	6
WBGene00022691|ZK250.8|math-50	6
WBGene00001490|H05G16.1|frm-3	6
WBGene00013101|Y51H4A.5	6
WBGene00007524|C11G6.3	6
WBGene00020977|W03B1.8|oac-52	6
WBGene00002038|T02C12.1|hum-5	6
WBGene00006762|Y37D8A.23|unc-25	6
WBGene00003060|Y47G6A.23|lpd-3	6
WBGene00007982|C36E8.3|pxd-1	6
WBGene00001494|H09G03.2|frm-8	6
WBGene00006876|ZK1151.1|vab-10	6
WBGene00002717|C01G8.9|let-526	6
WBGene00004986|T07C4.4|spp-1	6
WBGene00011059|R06C1.4	5.97
WBGene00006351|K03A1.5|sur-5	5.96
WBGene00008061|C41G7.3	5.95
WBGene00020647|T21D12.3|pqbp-1.1	5.95
WBGene00015471|C05D9.2|lmp-2	5.94
WBGene00010620|K07A12.1	5.94
WBGene00022250|Y73B6BL.29	5.93
WBGene00004796|ZK520.2|sid-2	5.93
WBGene00009580|F40F9.1|xbx-6	5.91
WBGene00015954|C18B2.3	5.91
WBGene00003495|T22E5.5|mup-2	5.91
WBGene00016469|C36B7.6	5.9
WBGene00018602|F48D6.4	5.9
WBGene00002996|Y54G11A.10|lin-7	5.89
WBGene00000390|R07G3.1|cdc-42	5.87
WBGene00013029|Y49E10.2|glrx-5	5.87
WBGene00006367|ZK1067.6|sym-2	5.86
WBGene00015548|C06G1.5	5.86
WBGene00008331|C55A6.2|ttll-5	5.85
WBGene00014221|ZK1098.4	5.85
WBGene00023485|E02C12.13|ttr-49	5.84
WBGene00012293|W06A7.4	5.83
WBGene00021902|Y54H5A.4|oxy-4	5.83
WBGene00007613|C15H11.1	5.83
WBGene00010700|K09A9.1|nipi-3	5.82
WBGene00017970|F32A5.4	5.82
WBGene00003431|R05F9.8|msp-33	5.81
WBGene00021847|Y54F10AL.1	5.8
WBGene00009370|F33H2.7|set-10	5.75
WBGene00020998|W03F8.10	5.75
WBGene00016970|C56E6.2	5.75
WBGene00020016|R11G11.14|lipl-3	5.73
WBGene00018785|F54A3.6	5.71
WBGene00019664|K11H12.8	5.69
WBGene00009051|F22D6.4|nduf-6	5.68
WBGene00010619|K07A1.15	5.67
WBGene00001564|C05E4.9|gei-7	5.67
WBGene00001755|F11G11.2|gst-7	5.66
WBGene00000018|M79.1|abl-1	5.65
WBGene00003516|C43E11.6|nab-1	5.65
WBGene00008912|F17C8.7	5.64
WBGene00006617|C47D12.6|tars-1	5.62
WBGene00000459|F22D3.1|ceh-38	5.62
WBGene00008480|E04D5.1	5.61
WBGene00013039|Y49E10.20|scav-3	5.6
WBGene00001950|T24B8.6|hlh-3	5.6
WBGene00007974|C36B1.7|dhfr-1	5.58
WBGene00016535|C39D10.8	5.57
WBGene00003446|R13H9.4|msp-53	5.56
WBGene00022760|ZK546.3	5.56
WBGene00016200|C28H8.9	5.56
WBGene00012261|W04G3.8|lpr-3	5.55
WBGene00006582|C08D8.2|tmd-2	5.55
WBGene00017162|F01F1.7|ddx-23	5.54
WBGene00003369|C36E6.3|mlc-1	5.54
WBGene00014253|ZK1320.3	5.54
WBGene00001748|F56C9.1|gsp-2	5.53
WBGene00004767|F55B12.3|sel-10	5.52
WBGene00003465|T13F2.11|msp-78	5.51
WBGene00003374|K11D12.10|mlk-1	5.49
WBGene00018604|F48E3.3	5.49
WBGene00016645|C44C1.6	5.49
WBGene00019074|F59A3.1	5.48
WBGene00008768|F13G3.10	5.48
WBGene00017416|F13B6.1	5.47
WBGene00002273|W01A11.4|lec-10	5.47
WBGene00004492|F28D1.7|rps-23	5.47
WBGene00012483|Y18D10A.16	5.47
WBGene00012239|W04A8.4	5.47
WBGene00006810|C04F6.4|unc-78	5.45
WBGene00000879|Y75B12B.5|cyn-3	5.45
WBGene00022772|ZK616.2	5.44
WBGene00012684|Y39B6A.25	5.44
WBGene00013463|Y67H2A.5	5.43
WBGene00023409|C27A12.10|mbd-2	5.43
WBGene00020114|R153.1|pde-4	5.43
WBGene00006636|T14B4.4|tsp-10	5.42
WBGene00017071|D2096.3|aagr-1	5.4
WBGene00000195|F53H8.2|arr-1	5.4
WBGene00013344|Y59A8B.7|ebp-1	5.4
WBGene00000380|C07G2.3|cct-5	5.39
WBGene00022738|ZK418.9	5.39
WBGene00012739|Y40B1B.7	5.39
WBGene00009505|F37B12.3	5.39
WBGene00012500|Y26D4A.2	5.38
WBGene00012124|T28D6.4	5.38
WBGene00003730|B0495.4|nhx-2	5.37
WBGene00010488|K02A11.3	5.36
WBGene00010882|M7.5|atg-7	5.36
WBGene00006365|K02E10.8|syg-1	5.34
WBGene00002057|R04E5.10|ifd-1	5.34
WBGene00009449|F35H8.4	5.33
WBGene00015927|C17H12.1|dyci-1	5.32
WBGene00013596|Y87G2A.7	5.31
WBGene00045392|F26D11.12	5.3
WBGene00022851|ZK1127.4	5.3
WBGene00006852|C53D6.2|unc-129	5.3
WBGene00006369|R03E1.1|sym-4	5.28
WBGene00019158|H05C05.2	5.28
WBGene00000516|T05A6.1|cki-1	5.27
WBGene00016422|C34G6.6|noah-1	5.27
WBGene00018317|F41H10.4	5.26
WBGene00001915|C50F4.5|his-41	5.26
WBGene00018960|F56D1.2	5.25
WBGene00006918|ZK970.4|vha-9	5.24
WBGene00006397|C14A4.10|taf-13	5.24
WBGene00022609|ZC416.2	5.24
WBGene00022631|ZC581.1|nekl-2	5.19
WBGene00000039|C42D8.5|acn-1	5.19
WBGene00012671|Y39B6A.9	5.17
WBGene00004245|W06B11.2|puf-9	5.16
WBGene00008743|F13D12.9	5.16
WBGene00010993|R03E1.2	5.15
WBGene00002259|T22G5.2|lbp-7	5.15
WBGene00002176|F56D12.4|jip-1	5.14
WBGene00007375|C06C3.4	5.14
WBGene00020235|T05A12.4	5.14
WBGene00019643|K11C4.2	5.14
WBGene00008549|F07A11.6|din-1	5.14
WBGene00013530|Y73F8A.25	5.14
WBGene00017798|F25G6.7	5.13
WBGene00013177|Y53H1A.1|rsy-1	5.13
WBGene00006921|F20B6.2|vha-12	5.13
WBGene00011280|R74.6	5.12
WBGene00019929|R07C3.13	5.11
WBGene00009899|F49E12.6	5.11
WBGene00021634|Y47G6A.4	5.11
WBGene00020894|T28D9.1	5.11
WBGene00019779|M60.2	5.1
WBGene00020275|T05H4.12|atp-4	5.09
WBGene00006461|M01D7.4|tag-96	5.08
WBGene00009918|F52A8.5	5.07
WBGene00007119|B0250.2	5.07
WBGene00006999|F42G4.3|zyx-1	5.06
WBGene00004340|F31E3.3|rfc-4	5.06
WBGene00003800|C03D6.4|npp-14	5.06
WBGene00011076|R07B1.3|scav-5	5.06
WBGene00016839|C50F2.5	5.05
WBGene00000279|F54D8.4|cah-1	5.04
WBGene00009531|F38B2.4	5.04
WBGene00022063|Y67D8B.4	5.04
WBGene00001488|ZK270.2|frm-1	5.02
WBGene00012628|Y38H6C.16	5.02
WBGene00022276|Y74C9A.2|nlp-40	5
WBGene00020322|T07F12.2	5
WBGene00012152|VK10D6R.1|cnc-10	4.99
WBGene00020026|R12C12.6	4.99
WBGene00003371|F09F7.2|mlc-3	4.99
WBGene00013269|Y57A10A.29	4.97
WBGene00013343|Y59A8B.6	4.96
WBGene00000814|B0025.2|csn-2	4.95
WBGene00004202|C37A5.9|pry-1	4.95
WBGene00010500|K02B12.7	4.92
WBGene00011740|T12G3.5	4.92
WBGene00017303|F09F7.6	4.91
WBGene00004025|F35G2.4|phy-2	4.9
WBGene00002990|C37F5.1|lin-1	4.9
WBGene00044297|C25B8.8	4.89
WBGene00007175|B0395.3	4.89
WBGene00006708|Y54G2A.31|ubc-13	4.88
WBGene00003170|W02D3.3|mec-6	4.88
WBGene00011033|R05D11.5	4.87
WBGene00020683|T22D1.4	4.86
WBGene00016419|C34G6.2|tyr-4	4.85
WBGene00021900|Y54H5A.2	4.85
WBGene00004705|C18D11.4|rsp-8	4.84
WBGene00019205|H16O14.1|kcc-2	4.84
WBGene00001177|B0348.4|egl-8	4.84
WBGene00007585|C14C10.2	4.83
WBGene00009059|F22E12.2|chw-1	4.82
WBGene00016609|C43E11.12	4.81
WBGene00008121|C46F11.6	4.8
WBGene00006434|F09E5.15|prdx-2	4.8
WBGene00022591|ZC328.1|cuti-1	4.8
WBGene00007953|C35A5.9|hdac-11	4.8
WBGene00018392|F43E2.3|insc-1	4.8
WBGene00020831|T26C12.1	4.78
WBGene00001635|Y45F10D.3|gly-10	4.78
WBGene00016509|C37H5.6	4.77
WBGene00010486|K01H12.4	4.76
WBGene00013580|Y79H2A.3	4.76
WBGene00017513|F16F9.1	4.76
WBGene00007350|C05G5.4	4.76
WBGene00022748|ZK484.1	4.75
WBGene00044446|C06G4.6	4.75
WBGene00011814|T16H12.4	4.75
WBGene00022455|Y110A7A.4	4.75
WBGene00006467|C01B7.4|tag-117	4.75
WBGene00001041|T24H10.3|dnj-23	4.74
WBGene00011913|T22C1.2|glb-26	4.74
WBGene00003731|C54F6.13|nhx-3	4.74
WBGene00004014|Y37E3.9|phb-1	4.74
WBGene00019402|K04G7.11	4.72
WBGene00007972|C36B1.5|prp-4	4.72
WBGene00019327|K02F3.4|zip-2	4.72
WBGene00017386|F11G11.8|nspd-5	4.72
WBGene00009369|F33H2.6	4.71
WBGene00012103|T27F6.2|clec-12	4.71
WBGene00005002|C54G6.5|spp-17	4.7
WBGene00010155|F56F3.4	4.7
WBGene00016961|C56C10.3|vps-32.1	4.7
WBGene00016310|C32D5.1	4.69
WBGene00003432|C04G2.4|msp-36	4.69
WBGene00001679|F13D12.7|gpb-1	4.69
WBGene00007793|C28D4.5	4.68
WBGene00018961|F56D1.3	4.68
WBGene00011111|R07E5.3|snfc-5	4.67
WBGene00006729|K07B1.3|ucp-4	4.66
WBGene00022470|Y119C1B.4	4.65
WBGene00007296|C04C11.2|arrd-25	4.65
WBGene00001560|T22H6.6|gei-3	4.65
WBGene00021000|W03F9.2	4.65
WBGene00011199|R10E4.2|tag-310	4.64
WBGene00015147|B0336.7	4.64
WBGene00012252|W04E12.7	4.64
WBGene00018744|F53B3.6	4.63
WBGene00001978|R13H4.4|hmp-1	4.63
WBGene00001851|F38A6.3|hif-1	4.61
